epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,695.571,0.39733,0.37654,0.94241,0.9667,0.99094,0.97273,0.94626,0.25358,0.28414,0.67844,0.000661469,0.000661469,0.000661469
54,709.026,0.3811,0.35381,0.9345,0.96365,0.98676,0.97243,0.95241,0.24014,0.28397,0.67339,0.00065817,0.00065817,0.00065817
55,722.535,0.38165,0.35903,0.91913,0.96009,0.99806,0.97241,0.95409,0.24369,0.28223,0.66946,0.000654871,0.000654871,0.000654871
56,736.037,0.39962,0.37257,0.9446,0.96497,0.99271,0.97127,0.94894,0.23561,0.27462,0.67356,0.000651573,0.000651573,0.000651573
57,749.499,0.36383,0.34196,0.9199,0.96309,0.99099,0.97415,0.9555,0.2468,0.27048,0.676,0.000648274,0.000648274,0.000648274
58,763.008,0.37361,0.35831,0.92537,0.96353,0.98705,0.96961,0.93643,0.26317,0.29189,0.68762,0.000644975,0.000644975,0.000644975
59,776.609,0.35151,0.33872,0.91579,0.95937,0.98642,0.97301,0.95008,0.24736,0.27553,0.67115,0.000641677,0.000641677,0.000641677
60,790.243,0.36776,0.34031,0.92497,0.96032,0.99724,0.97437,0.94911,0.24955,0.26843,0.68035,0.000638378,0.000638378,0.000638378
61,803.842,0.37498,0.34433,0.93866,0.96577,0.99107,0.97709,0.94979,0.27034,0.27547,0.68505,0.000635079,0.000635079,0.000635079
62,817.378,0.36364,0.34158,0.91427,0.96829,0.99557,0.97211,0.95565,0.21722,0.25103,0.66405,0.000631781,0.000631781,0.000631781
63,830.954,0.36729,0.37546,0.93025,0.97316,0.99386,0.9765,0.95984,0.23314,0.25538,0.66229,0.000628482,0.000628482,0.000628482
64,844.421,0.3661,0.33858,0.92414,0.97238,0.99782,0.97123,0.95001,0.23242,0.258,0.66784,0.000625183,0.000625183,0.000625183
65,857.991,0.35786,0.34139,0.91253,0.968,0.98962,0.9759,0.95233,0.23752,0.26409,0.68337,0.000621884,0.000621884,0.000621884
66,871.799,0.3771,0.3566,0.93761,0.96957,0.97564,0.97008,0.9518,0.23761,0.28993,0.66722,0.000618586,0.000618586,0.000618586
67,885.242,0.36059,0.33765,0.91353,0.97166,0.98951,0.9713,0.95664,0.2142,0.25842,0.66569,0.000615287,0.000615287,0.000615287
68,898.758,0.35529,0.33872,0.92474,0.97178,0.98552,0.97276,0.95827,0.21509,0.2493,0.66627,0.000611988,0.000611988,0.000611988
69,912.231,0.361,0.33248,0.92081,0.96512,0.98469,0.97135,0.9508,0.23928,0.27592,0.66997,0.00060869,0.00060869,0.00060869
70,925.757,0.34969,0.32505,0.91856,0.96506,0.99538,0.97071,0.95024,0.22485,0.25218,0.66691,0.000605391,0.000605391,0.000605391
71,939.224,0.35589,0.3314,0.93168,0.97,0.99733,0.97339,0.95136,0.22196,0.23651,0.67378,0.000602092,0.000602092,0.000602092
72,952.674,0.35328,0.31548,0.92657,0.97023,0.99597,0.97168,0.95403,0.2121,0.24766,0.66651,0.000598794,0.000598794,0.000598794
73,966.184,0.34914,0.32026,0.91897,0.96824,0.99841,0.97404,0.96055,0.22472,0.25038,0.66135,0.000595495,0.000595495,0.000595495
74,979.607,0.33948,0.31188,0.91455,0.96819,0.99684,0.97652,0.95874,0.24121,0.26692,0.67775,0.000592196,0.000592196,0.000592196
75,993.082,0.35504,0.32731,0.92297,0.97114,0.99466,0.97158,0.9539,0.21474,0.24485,0.65582,0.000588898,0.000588898,0.000588898
76,1006.63,0.34737,0.31668,0.91312,0.96856,0.98284,0.97016,0.95391,0.21615,0.27727,0.67021,0.000585599,0.000585599,0.000585599
77,1020.34,0.34469,0.31789,0.92142,0.96684,0.99462,0.97056,0.95332,0.21475,0.24182,0.66331,0.0005823,0.0005823,0.0005823
78,1033.87,0.33731,0.3174,0.90824,0.97045,0.99541,0.97247,0.95946,0.20981,0.24163,0.66141,0.000579002,0.000579002,0.000579002
79,1047.53,0.34405,0.31171,0.91603,0.97238,0.99555,0.97061,0.95625,0.20559,0.23446,0.66035,0.000575703,0.000575703,0.000575703
80,1060.96,0.34571,0.33005,0.91794,0.97203,0.99229,0.9727,0.95453,0.2188,0.23647,0.67098,0.000572404,0.000572404,0.000572404
81,1074.42,0.32464,0.29985,0.91288,0.97103,0.99456,0.97354,0.96008,0.20968,0.23248,0.66061,0.000569106,0.000569106,0.000569106
82,1088.12,0.3309,0.29887,0.90788,0.96948,0.99784,0.97164,0.96031,0.21346,0.2321,0.66016,0.000565807,0.000565807,0.000565807
83,1101.82,0.32878,0.30218,0.91344,0.97286,0.99595,0.97055,0.95347,0.19771,0.23254,0.65908,0.000562508,0.000562508,0.000562508
84,1115.56,0.32091,0.30091,0.90499,0.97119,0.99768,0.97172,0.95824,0.19717,0.24057,0.64996,0.00055921,0.00055921,0.00055921
85,1129.03,0.33152,0.30615,0.91086,0.969,0.99615,0.97329,0.95863,0.21008,0.23932,0.66172,0.000555911,0.000555911,0.000555911
86,1142.54,0.31415,0.30637,0.89806,0.96992,0.99763,0.97114,0.95815,0.20167,0.22867,0.65337,0.000552612,0.000552612,0.000552612
87,1155.98,0.32494,0.30987,0.9026,0.97385,0.99141,0.97154,0.95588,0.19876,0.23126,0.65924,0.000549314,0.000549314,0.000549314
88,1169.47,0.31166,0.29594,0.90212,0.97022,0.99805,0.97107,0.95855,0.19607,0.23778,0.64868,0.000546015,0.000546015,0.000546015
89,1182.94,0.31598,0.29556,0.90515,0.97076,0.99365,0.97282,0.96253,0.19918,0.22701,0.64542,0.000542716,0.000542716,0.000542716
90,1196.54,0.31112,0.29094,0.897,0.9724,0.99465,0.97239,0.96018,0.18906,0.22631,0.64367,0.000539417,0.000539417,0.000539417
91,1210,0.31274,0.2861,0.8956,0.9668,0.9955,0.97138,0.95595,0.21119,0.24693,0.66108,0.000536119,0.000536119,0.000536119
92,1223.52,0.31794,0.30274,0.90278,0.96636,0.99902,0.97205,0.95945,0.19449,0.22273,0.6502,0.00053282,0.00053282,0.00053282
93,1236.93,0.32333,0.30501,0.90867,0.97221,0.99378,0.97267,0.96018,0.21247,0.23891,0.64915,0.000529521,0.000529521,0.000529521
94,1250.38,0.31142,0.28833,0.89882,0.97306,0.99587,0.9711,0.96101,0.20354,0.22143,0.65011,0.000526223,0.000526223,0.000526223
95,1263.87,0.30101,0.28853,0.89889,0.96878,0.99531,0.97153,0.95718,0.21198,0.23127,0.65668,0.000522924,0.000522924,0.000522924
96,1277.34,0.32438,0.2962,0.90316,0.97011,0.99556,0.97339,0.96147,0.2028,0.223,0.65029,0.000519625,0.000519625,0.000519625
97,1290.73,0.30501,0.29441,0.90639,0.96882,0.99931,0.97061,0.9623,0.18155,0.22225,0.6395,0.000516327,0.000516327,0.000516327
98,1304.39,0.30337,0.28064,0.90042,0.9698,0.99694,0.97551,0.96094,0.19498,0.22573,0.65755,0.000513028,0.000513028,0.000513028
99,1317.79,0.30249,0.29405,0.90095,0.97359,0.99474,0.97172,0.9596,0.1846,0.21856,0.65072,0.000509729,0.000509729,0.000509729
100,1331.11,0.31645,0.29149,0.90329,0.97285,0.99542,0.97123,0.95961,0.18451,0.22725,0.65107,0.000506431,0.000506431,0.000506431
101,1344.7,0.31114,0.28628,0.90394,0.97138,0.99726,0.97123,0.96093,0.18707,0.21658,0.6504,0.000503132,0.000503132,0.000503132
102,1358.36,0.30142,0.27647,0.89102,0.9719,0.99767,0.97255,0.96149,0.19094,0.22458,0.64939,0.000499833,0.000499833,0.000499833
103,1371.97,0.31045,0.29113,0.91653,0.96991,0.99907,0.97559,0.96376,0.18865,0.21812,0.64852,0.000496535,0.000496535,0.000496535
104,1385.48,0.29581,0.27385,0.90064,0.96601,0.99449,0.97022,0.95062,0.19317,0.22215,0.65929,0.000493236,0.000493236,0.000493236
105,1398.93,0.30051,0.27515,0.90419,0.97328,0.99494,0.97172,0.95851,0.186,0.20841,0.64651,0.000489937,0.000489937,0.000489937
106,1412.41,0.30353,0.28336,0.89501,0.97251,0.99839,0.9729,0.96371,0.18027,0.21531,0.64305,0.000486639,0.000486639,0.000486639
107,1425.84,0.30428,0.27472,0.9067,0.96576,0.99751,0.97567,0.96284,0.1989,0.23771,0.65266,0.00048334,0.00048334,0.00048334
108,1439.38,0.29926,0.28814,0.89646,0.97215,0.99854,0.97061,0.96036,0.18485,0.22051,0.64526,0.000480041,0.000480041,0.000480041
109,1452.86,0.2844,0.26585,0.88074,0.97276,0.99681,0.97158,0.96274,0.18026,0.2106,0.63946,0.000476743,0.000476743,0.000476743
110,1466.28,0.30066,0.2766,0.89212,0.97068,0.99747,0.97205,0.95841,0.19781,0.22132,0.65056,0.000473444,0.000473444,0.000473444
111,1479.77,0.29972,0.26912,0.89768,0.96894,0.99773,0.97123,0.95638,0.18884,0.22413,0.65347,0.000470145,0.000470145,0.000470145
112,1493.35,0.28929,0.26895,0.8875,0.97287,0.99877,0.97268,0.96164,0.18131,0.21014,0.64191,0.000466847,0.000466847,0.000466847
